metro_id,fullaqsid,policy_id,start_date,end_date
943,ERG-LB4,44,2023-08-29,NA
943,ERG-LB5,28,2021-10-25,2023-08-28
943,ERG-LB5,44,2023-08-29,NA
943,ERG-LB6,44,2023-08-29,NA
943,ERG-LH0,44,2023-08-29,NA
943,ERG-LH2,44,2023-08-29,NA
943,ERG-LW1,28,2021-10-25,2023-08-28
943,ERG-LW1,44,2023-08-29,NA
943,ERG-LW2,28,2021-10-25,2023-08-28
943,ERG-LW2,44,2023-08-29,NA
943,ERG-LW3,28,2021-10-25,2023-08-28
943,ERG-LW3,44,2023-08-29,NA
943,ERG-LW4,28,2021-10-25,2023-08-28
943,ERG-LW4,44,2023-08-29,NA
943,ERG-LW5,28,2021-10-25,2023-08-28
943,ERG-LW5,44,2023-08-29,NA
943,ERG-LW6,44,2023-08-29,NA
943,ERG-ME1,44,2023-08-29,NA
943,ERG-ME2,44,2023-08-29,NA
943,ERG-ME7,44,2023-08-29,NA
943,ERG-ME9,44,2023-08-29,NA
943,ERG-MEA,44,2023-08-29,NA
943,ERG-MEB,44,2023-08-29,NA
943,ERG-MR8,28,2021-10-25,2023-08-28
943,ERG-MR8,41,2007-02-19,2011-01-03
943,ERG-MR8,42,2011-01-04,NA
943,ERG-MR8,44,2023-08-29,NA
943,ERG-MY1,28,2021-10-25,2023-08-28
943,ERG-MY1,41,2007-02-19,2011-01-03
943,ERG-MY1,42,2011-01-04,NA
943,ERG-MY1,44,2023-08-29,NA
943,ERG-MY7,28,2021-10-25,2023-08-28
943,ERG-MY7,41,2007-02-19,2011-01-03
943,ERG-MY7,42,2011-01-04,NA
943,ERG-MY7,44,2023-08-29,NA
943,ERG-NB1,27,2003-02-17,2007-02-18
943,ERG-NB1,28,2021-10-25,2023-08-28
943,ERG-NB1,41,2007-02-19,2011-01-03
943,ERG-NB1,42,2011-01-04,NA
943,ERG-NB1,43,2019-04-08,2021-10-24
943,ERG-NB1,44,2023-08-29,NA
943,ERG-NM1,28,2021-10-25,2023-08-28
943,ERG-NM1,44,2023-08-29,NA
943,ERG-NM2,28,2021-10-25,2023-08-28
943,ERG-NM2,44,2023-08-29,NA
943,ERG-NM3,28,2021-10-25,2023-08-28
943,ERG-NM3,44,2023-08-29,NA
943,ERG-NM4,28,2021-10-25,2023-08-28
943,ERG-NM4,44,2023-08-29,NA
943,ERG-RB1,44,2023-08-29,NA
943,ERG-RB2,44,2023-08-29,NA
943,ERG-RB4,28,2021-10-25,2023-08-28
943,ERG-RB4,44,2023-08-29,NA
943,ERG-RB5,44,2023-08-29,NA
943,ERG-RB7,44,2023-08-29,NA
943,ERG-RHG,44,2023-08-29,NA
943,ERG-RHI,44,2023-08-29,NA
943,ERG-RI1,28,2021-10-25,2023-08-28
943,ERG-RI1,44,2023-08-29,NA
943,ERG-RI2,28,2021-10-25,2023-08-28
943,ERG-RI2,44,2023-08-29,NA
943,ERG-SK1,28,2021-10-25,2023-08-28
943,ERG-SK1,44,2023-08-29,NA
943,ERG-SK2,28,2021-10-25,2023-08-28
943,ERG-SK2,44,2023-08-29,NA
943,ERG-SK5,28,2021-10-25,2023-08-28
943,ERG-SK5,44,2023-08-29,NA
943,ERG-SK6,27,2003-02-17,2007-02-18
943,ERG-SK6,28,2021-10-25,2023-08-28
943,ERG-SK6,41,2007-02-19,2011-01-03
943,ERG-SK6,42,2011-01-04,NA
943,ERG-SK6,43,2019-04-08,2021-10-24
943,ERG-SK6,44,2023-08-29,NA
943,ERG-SK7,28,2021-10-25,2023-08-28
943,ERG-SK7,44,2023-08-29,NA
943,ERG-SK8,28,2021-10-25,2023-08-28
943,ERG-SK8,41,2007-02-19,2011-01-03
943,ERG-SK8,42,2011-01-04,NA
943,ERG-SK8,44,2023-08-29,NA
943,ERG-SK9,28,2021-10-25,2023-08-28
943,ERG-SK9,44,2023-08-29,NA
943,ERG-SKA,28,2021-10-25,2023-08-28
943,ERG-SKA,44,2023-08-29,NA
943,ERG-SKB,28,2021-10-25,2023-08-28
943,ERG-SKB,44,2023-08-29,NA
943,ERG-SKC,28,2021-10-25,2023-08-28
943,ERG-SKC,44,2023-08-29,NA
943,ERG-ST1,44,2023-08-29,NA
943,ERG-ST2,44,2023-08-29,NA
943,ERG-ST3,44,2023-08-29,NA
943,ERG-ST4,44,2023-08-29,NA
943,ERG-ST5,44,2023-08-29,NA
943,ERG-ST7,44,2023-08-29,NA
943,ERG-ST8,44,2023-08-29,NA
943,ERG-ST9,44,2023-08-29,NA
943,ERG-TD0,44,2023-08-29,NA
943,ERG-TD5,44,2023-08-29,NA
943,ERG-TH1,28,2021-10-25,2023-08-28
943,ERG-TH1,44,2023-08-29,NA
943,ERG-TH2,28,2021-10-25,2023-08-28
943,ERG-TH2,44,2023-08-29,NA
943,ERG-TH3,28,2021-10-25,2023-08-28
943,ERG-TH3,44,2023-08-29,NA
943,ERG-TH4,28,2021-10-25,2023-08-28
943,ERG-TH4,44,2023-08-29,NA
943,ERG-TH5,28,2021-10-25,2023-08-28
943,ERG-TH5,44,2023-08-29,NA
943,ERG-TH6,28,2021-10-25,2023-08-28
943,ERG-TH6,44,2023-08-29,NA
943,ERG-TH7,28,2021-10-25,2023-08-28
943,ERG-TH7,44,2023-08-29,NA
943,ERG-TL4,28,2021-10-25,2023-08-28
943,ERG-TL4,44,2023-08-29,NA
943,ERG-TL5,28,2021-10-25,2023-08-28
943,ERG-TL5,44,2023-08-29,NA
943,ERG-TL6,28,2021-10-25,2023-08-28
943,ERG-TL6,44,2023-08-29,NA
943,ERG-VS1,27,2003-02-17,2007-02-18
943,ERG-VS1,28,2021-10-25,2023-08-28
943,ERG-VS1,41,2007-02-19,2011-01-03
943,ERG-VS1,42,2011-01-04,NA
943,ERG-VS1,43,2019-04-08,2021-10-24
943,ERG-VS1,44,2023-08-29,NA
943,ERG-WA1,44,2023-08-29,NA
943,ERG-WA2,28,2021-10-25,2023-08-28
943,ERG-WA2,44,2023-08-29,NA
943,ERG-WA3,44,2023-08-29,NA
943,ERG-WA4,44,2023-08-29,NA
943,ERG-WA6,44,2023-08-29,NA
943,ERG-WA7,28,2021-10-25,2023-08-28
943,ERG-WA7,44,2023-08-29,NA
943,ERG-WA8,28,2021-10-25,2023-08-28
943,ERG-WA8,44,2023-08-29,NA
943,ERG-WA9,28,2021-10-25,2023-08-28
943,ERG-WA9,44,2023-08-29,NA
943,ERG-WAA,28,2021-10-25,2023-08-28
943,ERG-WAA,44,2023-08-29,NA
943,ERG-WAB,44,2023-08-29,NA
943,ERG-WAC,28,2021-10-25,2023-08-28
943,ERG-WAC,44,2023-08-29,NA
943,ERG-WE0,28,2021-10-25,2023-08-28
943,ERG-WE0,44,2023-08-29,NA
943,ERG-WL1,28,2021-10-25,2023-08-28
943,ERG-WL1,44,2023-08-29,NA
943,ERG-WL2,28,2021-10-25,2023-08-28
943,ERG-WL2,44,2023-08-29,NA
943,ERG-WL3,44,2023-08-29,NA
943,ERG-WL4,44,2023-08-29,NA
943,ERG-WL5,28,2021-10-25,2023-08-28
943,ERG-WL5,44,2023-08-29,NA
943,ERG-WM0,27,2003-02-17,2007-02-18
943,ERG-WM0,28,2021-10-25,2023-08-28
943,ERG-WM0,41,2007-02-19,2011-01-03
943,ERG-WM0,42,2011-01-04,NA
943,ERG-WM0,43,2019-04-08,2021-10-24
943,ERG-WM0,44,2023-08-29,NA
